restaurant_id,restaurant_name,region,sigungu,aspect,positive_count,neutral_count,negative_count,trend_tag
836845,5B2F,전남,여수시,접근성_웨이팅,1,0,0,접근성_웨이팅 호평 다수 (1건)
1bc2df24f2dd,KITCHEN106,전남,여수시,분위기,1,0,0,분위기 호평 다수 (1건)
431730,Lounge OIC,광주,광산구,분위기,1,0,0,분위기 호평 다수 (1건)
522077,가온전복,전남,진도군,신선도,1,0,0,신선도 호평 다수 (1건)
519624|895744,갈매기식당,전남,영광군,양,1,0,0,양 호평 다수 (1건)
836773,갈치조림기똥차게맛있는집,전남,여수시,맛,1,0,0,맛 호평 다수 (1건)
836773,갈치조림기똥차게맛있는집,전남,여수시,신선도,1,0,0,신선도 호평 다수 (1건)
b5426d21512d,거북선횟집 새조개하모샤브샤브,전남,여수시,신선도,1,0,0,신선도 호평 다수 (1건)
419144,거북이식당,전남,여수시,접근성_웨이팅,1,0,0,접근성_웨이팅 호평 다수 (1건)
e282a8223dc0,계동횟집,전남,여수시,분위기,0,1,0,분위기 언급 (1건)
e282a8223dc0,계동횟집,전남,여수시,접근성_웨이팅,0,1,0,접근성_웨이팅 언급 (1건)
517337,고구려초밥 금당본점,전남,순천시,접근성_웨이팅,1,0,0,접근성_웨이팅 호평 다수 (1건)
419385,고려조삼계탕,광주,남구,분위기,1,0,0,분위기 호평 다수 (1건)
419385,고려조삼계탕,광주,남구,접근성_웨이팅,1,0,0,접근성_웨이팅 호평 다수 (1건)
ecd4d1fc31ed,관산식당,전남,고흥군,맛,0,1,0,맛 언급 (1건)
2c0ba881a38b,광양 소낭구,전남,광양시,접근성_웨이팅,1,0,0,접근성_웨이팅 호평 다수 (1건)
c722c7892f4d,광후장어,광주,광산구,맛,1,0,0,맛 호평 다수 (1건)
c722c7892f4d,광후장어,광주,광산구,신선도,1,0,0,신선도 호평 다수 (1건)
c722c7892f4d,광후장어,광주,광산구,접근성_웨이팅,1,0,0,접근성_웨이팅 호평 다수 (1건)
539504,구례역대합실,전남,구례군,맛,1,0,0,맛 호평 다수 (1건)
522877|896697,구백가든,전남,화순군,접근성_웨이팅,0,1,0,접근성_웨이팅 언급 (1건)
517576,구이랑회,전남,여수시,맛,1,0,0,맛 호평 다수 (1건)
517576,구이랑회,전남,여수시,위생_청결,1,0,0,위생_청결 호평 다수 (1건)
517558,국동칼국수,전남,여수시,접근성_웨이팅,1,0,0,접근성_웨이팅 호평 다수 (1건)
b17be7fd87de,궁전횟집,전남,여수시,분위기,1,0,0,분위기 호평 다수 (1건)
b17be7fd87de,궁전횟집,전남,여수시,접근성_웨이팅,1,0,0,접근성_웨이팅 호평 다수 (1건)
edb6f40094e9,금비늘,전남,여수시,신선도,1,0,0,신선도 호평 다수 (1건)
193fa529dc6a,금송식육식당,전남,함평군,신선도,1,0,0,신선도 호평 다수 (1건)
519922,금정농협 한우프라자,전남,영암군,접근성_웨이팅,1,0,0,접근성_웨이팅 호평 다수 (1건)
519892,기찬메밀국수 영암농협본점,전남,영암군,분위기,1,0,0,분위기 호평 다수 (1건)
5f7052977f76,까치식당,전남,여수시,접근성_웨이팅,1,0,0,접근성_웨이팅 호평 다수 (1건)
836790,꽃게살비빔밥 꽃게탕 시청점,전남,여수시,접근성_웨이팅,0,1,0,접근성_웨이팅 언급 (1건)
7c921012066f,꽃피는전복식당 2 횟집,전남,진도군,분위기,1,0,0,분위기 호평 다수 (1건)
4fcfffda47c2,나눌터,전남,순천시,맛,1,0,0,맛 호평 다수 (1건)
4fcfffda47c2,나눌터,전남,순천시,분위기,1,0,0,분위기 호평 다수 (1건)
421052,나루터,전남,곡성군,분위기,1,0,0,분위기 호평 다수 (1건)
421052,나루터,전남,곡성군,접근성_웨이팅,1,0,0,접근성_웨이팅 호평 다수 (1건)
520942|521761,남원식당,전남,여수시,접근성_웨이팅,1,0,0,접근성_웨이팅 호평 다수 (1건)
517571,남진이네게장갈치명가,전남,여수시,신선도,1,0,0,신선도 호평 다수 (1건)
521783|896027,남창농원,전남,장성군,접근성_웨이팅,1,0,0,접근성_웨이팅 호평 다수 (1건)
421624,농성화로본점,광주,서구,접근성_웨이팅,0,1,0,접근성_웨이팅 언급 (1건)
517614,늘푸른식당 게장백반,전남,여수시,서비스_친절도,1,0,0,서비스_친절도 호평 다수 (1건)
517732,다강한정식,전남,강진군,접근성_웨이팅,1,0,0,접근성_웨이팅 호평 다수 (1건)
421758,다미정,광주,서구,분위기,1,0,0,분위기 호평 다수 (1건)
421758,다미정,광주,서구,접근성_웨이팅,1,0,0,접근성_웨이팅 호평 다수 (1건)
518686|895098,담양식탁,전남,담양군,맛,0,1,0,맛 언급 (1건)
c92696c46dd5,담양앞집 떡갈비국수전문점,전남,담양군,접근성_웨이팅,1,0,0,접근성_웨이팅 호평 다수 (1건)
8499a73753b1,담양애꽃,전남,담양군,가격,1,0,0,가격 호평 다수 (1건)
8499a73753b1,담양애꽃,전남,담양군,양,1,0,0,양 호평 다수 (1건)
8499a73753b1,담양애꽃,전남,담양군,분위기,1,0,0,분위기 호평 다수 (1건)
d4249deaff85,대교식당돌게장,전남,여수시,접근성_웨이팅,1,0,0,접근성_웨이팅 호평 다수 (1건)
56802,대숲골농원,전남,순천시,맛,1,0,0,맛 호평 다수 (1건)
56802,대숲골농원,전남,순천시,접근성_웨이팅,1,0,0,접근성_웨이팅 호평 다수 (1건)
422225,대원정,전남,보성군,분위기,1,0,0,분위기 호평 다수 (1건)
517719,대풍마차,전남,여수시,신선도,1,0,0,신선도 호평 다수 (1건)
49daaf8394ab,더청솔,광주,광산구,맛,1,0,0,맛 호평 다수 (1건)
49daaf8394ab,더청솔,광주,광산구,분위기,1,0,0,분위기 호평 다수 (1건)
517500,돌문어상회,전남,여수시,접근성_웨이팅,1,0,0,접근성_웨이팅 호평 다수 (1건)
77472|836819|880543,돌산게장명가 봉산점,전남,여수시,양,1,0,0,양 호평 다수 (1건)
77472|836819|880543,돌산게장명가 봉산점,전남,여수시,접근성_웨이팅,1,0,0,접근성_웨이팅 호평 다수 (1건)
517590,돌산백반,전남,여수시,접근성_웨이팅,1,0,0,접근성_웨이팅 호평 다수 (1건)
520958,동서식당,전남,여수시,맛,1,0,0,맛 호평 다수 (1건)
520958,동서식당,전남,여수시,접근성_웨이팅,1,0,0,접근성_웨이팅 호평 다수 (1건)
64bdbd7fb993,등대식당,전남,영광군,분위기,1,0,0,분위기 호평 다수 (1건)
423324,등촌,광주,서구,맛,1,0,0,맛 호평 다수 (1건)
423324,등촌,광주,서구,접근성_웨이팅,1,0,0,접근성_웨이팅 호평 다수 (1건)
518654|895073,뚝방국수,전남,담양군,맛,1,0,0,맛 호평 다수 (1건)
518654|895073,뚝방국수,전남,담양군,신선도,1,0,0,신선도 호평 다수 (1건)
fb6f12bbeb79,뜰채,전남,목포시,신선도,1,0,0,신선도 호평 다수 (1건)
424058,르시엘블루,광주,서구,접근성_웨이팅,1,0,0,접근성_웨이팅 호평 다수 (1건)
836512,매실한우 광양불고기,전남,광양시,맛,1,0,0,맛 호평 다수 (1건)
836512,매실한우 광양불고기,전남,광양시,접근성_웨이팅,1,0,0,접근성_웨이팅 호평 다수 (1건)
424645,매월농원,광주,서구,접근성_웨이팅,1,0,0,접근성_웨이팅 호평 다수 (1건)
424684|879573,맥문동,광주,서구,맛,0,1,0,맛 언급 (1건)
424684|879573,맥문동,광주,서구,접근성_웨이팅,0,1,0,접근성_웨이팅 언급 (1건)
6e27cf462a9b,맨가엣집,전남,여수시,분위기,1,0,0,분위기 호평 다수 (1건)
517498,명동게장,전남,여수시,가격,1,0,0,가격 호평 다수 (1건)
517498,명동게장,전남,여수시,접근성_웨이팅,1,0,0,접근성_웨이팅 호평 다수 (1건)
9cbdff4386fc,모란한정식,전남,강진군,양,1,0,0,양 호평 다수 (1건)
9cbdff4386fc,모란한정식,전남,강진군,접근성_웨이팅,1,0,0,접근성_웨이팅 호평 다수 (1건)
f504d32f77c2,무안명가,전남,무안군,신선도,1,0,0,신선도 호평 다수 (1건)
6005e6a293c6,묵돌이식당,전남,여수시,신선도,1,0,0,신선도 호평 다수 (1건)
e18b8f41fa18,문정한정식,전남,영광군,분위기,1,0,0,분위기 호평 다수 (1건)
e18b8f41fa18,문정한정식,전남,영광군,접근성_웨이팅,1,0,0,접근성_웨이팅 호평 다수 (1건)
425490,미꾸미꾸,광주,북구,양,1,0,0,양 호평 다수 (1건)
425557,미락식당,전남,완도군,신선도,1,0,0,신선도 호평 다수 (1건)
425557,미락식당,전남,완도군,분위기,1,0,0,분위기 호평 다수 (1건)
836837|89128|880574,미로횟집,전남,여수시,신선도,1,0,0,신선도 호평 다수 (1건)
425597,미미원,광주,동구,신선도,1,0,0,신선도 호평 다수 (1건)
194084,민속촌,광주,남구,접근성_웨이팅,1,0,0,접근성_웨이팅 호평 다수 (1건)
4fc75daea385,밀향기해물칼국수,전남,영광군,분위기,1,0,0,분위기 호평 다수 (1건)
fbd595904b6c,바다속으로조개구이,전남,여수시,분위기,1,0,0,분위기 호평 다수 (1건)
426018,박순자 녹두집,광주,동구,가격,1,0,0,가격 호평 다수 (1건)
426018,박순자 녹두집,광주,동구,서비스_친절도,1,0,0,서비스_친절도 호평 다수 (1건)
426089|516214|962103,밤실마을,광주,북구,맛,1,0,0,맛 호평 다수 (1건)
426089|516214|962103,밤실마을,광주,북구,신선도,1,0,0,신선도 호평 다수 (1건)
519395|895595,백길천사횟집,전남,신안군,맛,1,0,0,맛 호평 다수 (1건)
519395|895595,백길천사횟집,전남,신안군,신선도,1,0,0,신선도 호평 다수 (1건)
519395|895595,백길천사횟집,전남,신안군,위생_청결,1,0,0,위생_청결 호평 다수 (1건)
519395|895595,백길천사횟집,전남,신안군,접근성_웨이팅,1,0,0,접근성_웨이팅 호평 다수 (1건)
426254,백년한우,광주,북구,접근성_웨이팅,1,0,0,접근성_웨이팅 호평 다수 (1건)
518421,백련산방,전남,구례군,접근성_웨이팅,1,0,0,접근성_웨이팅 호평 다수 (1건)
6fdc0c2b23d5,백운국수방,전남,광양시,재방문의사,1,0,0,재방문의사 호평 다수 (1건)
f3af51e1c901,법성포굴비정식,전남,영광군,신선도,1,0,0,신선도 호평 다수 (1건)
f3af51e1c901,법성포굴비정식,전남,영광군,양,1,0,0,양 호평 다수 (1건)
f3af51e1c901,법성포굴비정식,전남,영광군,분위기,1,0,0,분위기 호평 다수 (1건)
426496,벗초밥,광주,서구,접근성_웨이팅,1,0,0,접근성_웨이팅 호평 다수 (1건)
522802|896635,벽오동,전남,화순군,가격,1,0,0,가격 호평 다수 (1건)
cf08499ed0e6,병암산장,전남,광양시,접근성_웨이팅,1,0,0,접근성_웨이팅 호평 다수 (1건)
e86612407da3,병영연탄불고기,전남,강진군,맛,0,1,0,맛 언급 (1건)
e86612407da3,병영연탄불고기,전남,강진군,접근성_웨이팅,0,1,0,접근성_웨이팅 언급 (1건)
518673|895088,병풍산방,전남,담양군,맛,1,0,0,맛 호평 다수 (1건)
519398,보물섬,전남,여수시,신선도,1,0,0,신선도 호평 다수 (1건)
519398,보물섬,전남,여수시,가격,1,0,0,가격 호평 다수 (1건)
186295,보성식당,전남,고흥군,맛,1,0,0,맛 호평 다수 (1건)
186295,보성식당,전남,고흥군,접근성_웨이팅,1,0,0,접근성_웨이팅 호평 다수 (1건)
186328|426743,보향미,광주,광산구,분위기,1,0,0,분위기 호평 다수 (1건)
186328|426743,보향미,광주,광산구,접근성_웨이팅,1,0,0,접근성_웨이팅 호평 다수 (1건)
e602c65379d1,불타는용궁짬뽕,전남,화순군,맛,1,0,0,맛 호평 다수 (1건)
e602c65379d1,불타는용궁짬뽕,전남,화순군,신선도,1,0,0,신선도 호평 다수 (1건)
85c209331675,빙그레식당 본점,전남,완도군,신선도,1,0,0,신선도 호평 다수 (1건)
85c209331675,빙그레식당 본점,전남,완도군,접근성_웨이팅,1,0,0,접근성_웨이팅 호평 다수 (1건)
519409|895605,사월포횟집,전남,신안군,신선도,1,0,0,신선도 호평 다수 (1건)
d7c1b5a2964f,산마을도토리,전남,화순군,맛,0,1,0,맛 언급 (1건)
d7c1b5a2964f,산마을도토리,전남,화순군,분위기,0,1,0,분위기 언급 (1건)
d7c1b5a2964f,산마을도토리,전남,화순군,접근성_웨이팅,0,1,0,접근성_웨이팅 언급 (1건)
515789|961753,산수쌈밥 동명점,광주,동구,맛,1,0,0,맛 호평 다수 (1건)
515789|961753,산수쌈밥 동명점,광주,동구,신선도,1,0,0,신선도 호평 다수 (1건)
520185,서민회관,전남,완도군,맛,1,0,0,맛 호평 다수 (1건)
187826|428220,서울곱창,광주,광산구,분위기,1,0,0,분위기 호평 다수 (1건)
83b0a52d2243,선경준치회집,전남,목포시,맛,1,0,0,맛 호평 다수 (1건)
83b0a52d2243,선경준치회집,전남,목포시,분위기,1,0,0,분위기 호평 다수 (1건)
187906|428298,선미식당,전남,함평군,맛,1,0,0,맛 호평 다수 (1건)
d2770d10c304,섬마을회정식,전남,신안군,신선도,1,0,0,신선도 호평 다수 (1건)
d2770d10c304,섬마을회정식,전남,신안군,가격,1,0,0,가격 호평 다수 (1건)
bf63c927af10,성내식당,전남,해남군,맛,1,0,0,맛 호평 다수 (1건)
bf63c927af10,성내식당,전남,해남군,양,0,1,0,양 언급 (1건)
bf63c927af10,성내식당,전남,해남군,신선도,1,0,0,신선도 호평 다수 (1건)
7a9ece0487d5,소래기냉면,전남,목포시,신선도,1,0,0,신선도 호평 다수 (1건)
05ec7cf12533,솔고개횟집,전남,여수시,신선도,1,0,0,신선도 호평 다수 (1건)
3cbbfcd1bada,송원식당,전남,곡성군,접근성_웨이팅,1,0,0,접근성_웨이팅 호평 다수 (1건)
188358|428745,송원식육식당,광주,광산구,맛,1,0,0,맛 호평 다수 (1건)
36c2c9320bdb,송치마을,전남,순천시,분위기,1,0,0,분위기 호평 다수 (1건)
36c2c9320bdb,송치마을,전남,순천시,접근성_웨이팅,1,0,0,접근성_웨이팅 호평 다수 (1건)
521837|896060,수복식당,전남,장흥군,맛,1,0,0,맛 호평 다수 (1건)
6e0ec7e5cea3,수수하지만 굉장해 여수점,전남,여수시,접근성_웨이팅,0,1,0,접근성_웨이팅 언급 (1건)
188540|428925|880069,수완초밥,광주,광산구,분위기,1,0,0,분위기 호평 다수 (1건)
836243,순천만전라도밥상,전남,순천시,접근성_웨이팅,1,0,0,접근성_웨이팅 호평 다수 (1건)
4c7d6bb00650,신가가마솥,전남,광양시,분위기,1,0,0,분위기 호평 다수 (1건)
4c7d6bb00650,신가가마솥,전남,광양시,접근성_웨이팅,1,0,0,접근성_웨이팅 호평 다수 (1건)
b801ccec2dd9,신기아꾸,전남,여수시,양,0,0,1,양 불만 존재 (1건)
517489,신대초밥,전남,순천시,양,1,1,0,양 호평 다수 (1건)
517489,신대초밥,전남,순천시,서비스_친절도,1,0,0,서비스_친절도 호평 다수 (1건)
519399,신안맛집,전남,신안군,신선도,1,0,0,신선도 호평 다수 (1건)
56897,신창손순대국밥,전남,해남군,분위기,1,0,0,분위기 호평 다수 (1건)
518649|895069,쌍교숯불갈비 담양 본점,전남,담양군,접근성_웨이팅,1,0,0,접근성_웨이팅 호평 다수 (1건)
6ddd10efa021,약선명가,전남,나주시,맛,1,0,0,맛 호평 다수 (1건)
518676|895090,양각리키친,전남,담양군,신선도,1,0,0,신선도 호평 다수 (1건)
518676|895090,양각리키친,전남,담양군,서비스_친절도,1,0,0,서비스_친절도 호평 다수 (1건)
