poi_id,place,area,lat,lng,menu,address,phone,hours,closed_days,parking
186298|426714,보성웰빙식당,광주,,,"생삼겹살, 오리불고기",광주 동구 학소로106번길 19,062-228-5530,,,없음
186299|426715,보성전집,광주,,,"육전, 명태전",광주 동구 제봉로17번길 6-1,062-224-1138,,,없음
186300,마루푸드,광주,,,"왕링차돌마라탕, 왕링차돌마라샹궈",광주 북구 용봉로 38 1층,0507-1486-1334,11:00~02:00,없음,없음
186304|426720,보쌈써는쭈꾸미 본점,광주,,,"신 쭈꾸미, 보쌈 한접시, 쭈꾸미 삼겹살",광주 북구 양산택지로 27,062-572-7788,16:00 - 01:00/22:00,없음,없음
186307,보암커피 운림본점,광주,,,"브루잉커피, 에스프레소",광주 동구 동산길 34,0507-1337-6394,10:00 - 22:00,매주 화요일,없음
186308|426724,보야져스,광주,,,"아메리카노,카페라떼, 아메리카노, 에스프레소",광주 서구 월드컵4강로181번길 42,0507-1447-0194,11:00 - 22:00,매주 일요일,있음
186309,견미보양탕,광주,,,"보신탕, 흑염소탕",광주 북구 고운로 7,062-511-2918,10:00~22:00,없음,있음
186310|426726|879626,보양죽,광주,35.1899740803737,126.899424986968,"영양닭고기죽, 쇠고기야채죽",광주 북구 설죽로 342,062-267-5585,09:00 - 21:00,없음,있음
186311|426727,보양죽,광주,,,"전복죽, 소고기죽",광주 동구 제봉로 35-2,062-228-5445,07:50 - 18:00,매주 토요일,없음
186312|426728,보울 샐러드,광주,,,"스테이크 샐러드, 쉬림프 아보카도 샐러드",광주 광산구 풍영로 231 1층,062-959-8368,08:30 - 20:00,없음,없음
186313|426729,보울가득,광주,,,"마이보울가득, 연어 가득 샐러드, 연어 가득 포케",광주 서구 운천로154번길 30-2 도이스키친 2층 보울가득,0507-1409-0421,09:00 - 20:00,없음,없음
186314,보울레시피 상무점,광주,,,"수제 그릭요거트, 그릭호밀빵",광주 서구 상무중앙로 70 1층 보울레시피,062-412-9783,10:00~21:30,없음,있음
186315,보울레시피 첨단점,광주,,,"그릭호밀빵, 단호박 스프 도시락",광주 북구 첨단과기로208번길 43-10 1층 106-a호,0507-1471-6637,10:00~21:30,없음,있음
186316|426732,보울레시피 봉선점,광주,,,"나만의레시피, 수제 그릭요거트, 그릭호밀빵",광주 남구 봉선로121번길 2,0507-1331-1505,10:00 - 21:30,없음,없음
186317|426733,보울레시피 선운점,광주,,,"나만의레시피, 수제 그릭요거트, 그릭호밀빵",광주 광산구 어등대로 416 1층 보울레시피 선운점,070-8691-2044,10:00 - 21:10,없음,있음
186318|426734,보울레시피 수완점,광주,,,"나만의레시피, 그릭호밀빵",광주 광산구 수완로11번길 42 1층,062-952-8331,10:00 - 21:30,없음,있음
186319|426735,보울레시피 용봉점,광주,,,"나만의 레시피, 그릭호밀빵, 나만의레시피",광주 북구 용봉택지로 46 1층,0507-1350-2657,10:00 - 21:30,없음,있음
186320|426736,보울레시피 충장점,광주,,,"나만의 레시피, 수제 그릭요거트",광주 동구 중앙로160번길 31-35,0507-1357-8231,10:00 - 22:00,없음,없음
186321,보울시스 광주운암동,광주,,,"연어포케, 수비드닭가슴살",광주 북구 대자로 75-1 1층,0507-1392-7305,11:00 - 20:00,매주 토요일,없음
186322,보자기족발 오치점,광주,,,"족발, 보쌈",광주 북구 서하로 174-1,062 - 266 - 2040,,,없음
186323,보자기족발,광주,,,"족발, 보쌈",광주 동구 학소로 97,0507-1323-4543,15:00~23:30,매주 일요일,없음
186324|426739,보자기즉석왕족발,광주,,,"보자기정통족발, 보자기정통미니족",광주 광산구 비아로12번길 18,0507-1309-4543,12:00 - 24:00,없음,없음
186327|426742,보해식육식당,광주,,,"생삼겹, 김치찌개",광주 동구 필문대로289번길 14,062-236-3515,11:00-22:00,매주 일요일,없음
186328|426743,보향미,광주,,,"보향보쌈, 점심17첩 할머니밥상",광주 광산구 첨단중앙로124번길 41 1층 첨단보쌈 보향미,062-973-2253,11:30 - 22:00,없음,있음
186329|426744,보훈김밥라면,광주,,,"보훈김밥, 치즈김밥, 멸추김밥",광주 광산구 첨단중앙로68번길 134,062-974-8775,08:00 - 19:00,매주 일요일,없음
186331,옛날돼지갈비,광주,,,"국내산 돼지갈비, 국내산 대패 삼겹살",광주 서구 풍금로151번길 6-2,0507-1420-9252,11:00~22:00,없음,있음
186333|426748,복길네아구찜,광주,,,"아구찜, 해물찜",광주 북구 면앙로156번길 40,062-673-1157,10:00 - 22:00,없음,있음
186335|426750,복댕이퓨전포차,광주,,,"제유볶음, 낙지볶음, 김치우동, 해물파전",광주 북구 대천로139번길 1,062-265-5667,,,없음
186336,복덕빵,광주,,,"무화가호두사워도우, 과일샤를롯뜨",광주 북구 양산택지로34번길 5 복덕빵,010-4542-9663,11:00~18:00,"공휴일, 매주 월요일",있음
186337|426752,복덕소주방,광주,,,"뒷고기 석쇠구이, 뒷고기 주물럭, 뒷기 주물럭",광주 북구 서방로107번길 54,062-252-1005,,,없음
186338|426753,복돈,광주,,,"한우생고기, 한우육회",광주 북구 서암대로 5-9,062-524-5205,,,없음
186340,복돼지상회,광주,,,"주물럭, 생삼겹",광주 북구 경양로 45-1,062 - 529 - 3238,,,없음
186341|532733,복록수,광주,35.150584999722,126.91231659972,"양꼬치갈비살, 꿔바로우, 고급양갈비",광주 동구 서석로10번길 9,062-222-9909,17:00~05:00,없음,있음
186342,복분자하우스,광주,,,"생 복분자액기스, 복분자 스파클링",광주 광산구 왕버들로 129 1층,062-953-0070,10:00~21:00,없음,있음
186343|426758,복불복,광주,,,"낙지볶음, 장어구이, 쭈꾸미, 갑오징어",광주 서구 풍금로4번길 5-14,062-654-7840,17:00 - 22:00,없음,없음
186344|426759,복뿔돈,광주,,,"마늘 생양념 어중살, 두툼 생삼겹살, 마능 생양념갈비, 김치말이냉국수",광주 북구 첨단연신로91번길 30,062-434-8214,16:30 - 00:00,격주 일요일,있음
186345,복성,광주,,,"모듬국밥, 막창국밥",광주 서구 화정로85번길 3,062-376-9890,10:00~22:00,매주 일요일,있음
186346|426761,복성루,광주,,,"삼선짬뽕, 깐풍기",광주 남구 대남대로379번길 7 동하샷슈부속,062-351-6669,10:00 - 20:40,없음,없음
186347|426762,복순이네,광주,,,"굴보쌈, 생선탕, 점심특선 2인상 1인",광주 동구 양림로 120 120호,062-227-0796,,,있음
186350|426765,복식당,광주,,,"순두부찌개, 뚝배기불고기",광주 동구 경양로247번길 11,010 - 2293 - 6413,,,없음
186351|426766,복아구명가,광주,,,"대구탕, 생태탕, 복해장국",광주 서구 계수로 59,062-382-3033,09:00 - 20:30,없음,있음
186352,복어명가 광주지산동,광주,,,"복냄비, 복칼국수",광주 동구 필문대로205번길 19-10 1층,062-222-5558,11:00 - 21:30,매주 일요일,없음
