poi_id,place,area,lat,lng,menu,address,phone,hours,closed_days,parking
182691,두마리양동시장통닭,광주,,,"후라이드치킨, 양념치킨",광주 남구 백운로 20,050-4454-6278,12:00-00:00,없음,없음
182692,두마리양동시장통닭,광주,,,"후라이드치킨, 양념치킨",광주 북구 서하로 295,062-251-8293,11:30-24:00,없음,있음
182693|423195,두찜 광주구시청점,광주,35.145415599722,126.918689,"로제닭발, 곰도리탕, 트러플크림찜닭, 불마왕불닭",광주 동구 문화전당로35번길 3-5,062-236-6342,11:00-23:00,없음,없음
182694,두찜 운암점,광주,,,"트러플크림찜닭, 불마왕불닭",광주 북구 금호로 1-1,062-511-2789,10:00~23:00,없음,없음
182695,두찜 광주두암점,광주,,,"로제찜닭, 불마왕불닭",광주 북구 군왕로 76,062-262-1008,11:00~23:00,없음,없음
182696,두찜 광주백운점,광주,,,"로제닭발, 트러플크림찜닭",광주 남구 백운로82번길 11,062-352-7282,10:00~01:30,없음,있음
182697|423199,두찜 광주상무1호점,광주,35.1441516,126.8565593,"트러플크림찜닭, 로제닭발, 불마왕불닭",광주 서구 운천로113번길 23,062-652-2722,11:00-23:00,없음,없음
182698,두찜 광주소촌점,광주,,,"로제닭발, 트러플크림찜닭",광주 광산구 소촌로 100 지하1층 112호,062-941-8685,11:00~23:00,없음,있음
182700,두찜 광주일곡점,광주,,,"로제닭발, 매꼼찜닭세티세트",광주 북구 송해로 33 두마리찜닭두찜 1층,0507-1418-0011,09:00~23:00,없음,없음
182701,두마리찜닭 두찜 지원점,광주,,,"빨간찜닭, 로제찜닭","광주 동구 학소로 97 (소태동, (1층))",062-226-8582,,,없음
182702,두찜 광주첨단1지구점,광주,,,"로제찜닭, 트러플크림찜닭",광주 광산구 첨단중앙로152번길 30 1층,0507-1367-9092,11:00~23:00,없음,없음
182703|423205,두찜 두마리찜닭 광주풍암점,광주,35.1220426,126.8650829,"트러플크림찜닭, 불마왕불닭",광주 서구 풍금로24번길 4 1층,0507-1478-7816,11:00-24:00,없음,없음
182704,두찜 광주화정점,광주,,,"트러플크림찜닭, 로제닭발",광주 서구 화운로175번길 3-1,062-372-7728,11:00-23:00,없음,없음
182705,두마리찜닭 광주효덕점,광주,,,"로제닭발, 트러플크림찜닭",광주 남구 서문대로627번길 9,0507-1330-3015,11:00~01:00,없음,있음
182706,두메산골 한방오리 닭,광주,,,"몸보신 한방 삼계탕, 소문난  한방 오리 백숙",광주 북구 면앙로 83 1층,0507-1315-5984,11:00-21:30,매주 월요일,있음
182709,두메하우스,광주,,,"한식, 양식",광주 광산구 앰코로 35 5층 501-1호,0507-1417-2101,11:30-22:00,"매주 일요일, 공휴일",있음
182710,두미엘,광주,,,"햄에그 샌드위치, 클럽 샌드위치",광주 광산구 풍영정길 39-7,0507-1330-6494,10:00~22:00,매주 일요일,있음
182714|423216,두번째로맛있는토스트집,광주,35.1187333,126.8982333,"계란토스트, 계란햄토스트",광주 남구 서문대로663번길 6,062-654-3774,10:00-23:30,없음,없음
182716|182719,두암골 설렁탕,광주,,,"설렁탕, 도가니탕",광주 북구 서방로107번길 88,062-262-0786,10:30-21:00,"첫째, 셋째 일요일, 공휴일",없음
182717,두암골국밥,광주,,,"머리국밥, 내장국밥",광주 북구 군왕로51번길 6,062-523-9882,10:30-21:00,매주 일요일,없음
182720,두암골세꼬시,광주,,,"세꼬시, 도다리",광주 북구 삼정로 98-1 1층,062-252-1600,17:00-24:00,매주 일요일,없음
182721,두암골전집,광주,,,"모둠전, 코다리찜",광주 북구 삼정로 71,0507-1339-4402,16:00-01:00,매주 일요일,있음
182722,두암골풍천장어,광주,,,"3미 풍천민물장어 1kg, 공기밥",광주 북구 밤실로167번길 2,062-251-1331,10:30-22:00,없음,없음
182723,스타벅스 광주두암타운점,광주,,,"블랙 글레이즈드 라떼, 그린 애플 캐모마일 티",광주 북구 삼정로 4,1522-3232,08:00-22:00,,있음
182726,식껍 두암동점,광주,,,"꼬들살, 치마살",광주 북구 밤실로 189 1층 식껍,0507-1330-4080,16:00-24:00,"매주 월요일, 공휴일",없음
182727,두암숯불갈비,광주,,,"돼지갈비, 물갈비",광주 북구 참판로 80,062-267-5648,,,없음
182728,굽네치킨 광주두암점,광주,,,"허니멜로, 갈릭마왕",광주 북구 삼정로 71 부영아파트 상가 104호,0504-3143-8387,12:00-24:00,없음,없음
182729,두암축산,광주,,,"한우 암소 생고기, 한우 암소 육회",광주 북구 삼정로 65,062-263-8592,11:00-21:30,없음,있음
182730,두암회포차,광주,,,"광어, 숭어",광주 북구 군왕로 69-1,062-512-5727,,,없음
182731,두접시바다장어,광주,,,"장어소금구이, 쪽갈비소금구이",광주 서구 상무대로 797-3,062-371-9296,17:00-01:00,매주 일요일,없음
182735,두찜 광주첨단2지구점,광주,,,"로제찜닭, 까만찜닭",광주 북구 첨단연신로91번길 44,062-574-2727,11:00~23:00,없음,있음
182736,두찜 광주봉선점,광주,,,"트러플크림찜닭, 불마왕불닭",광주 남구 봉선중앙로123번길 24,0504-111-8127,11:00-23:00,없음,없음
182737,두찜 광주수완점,광주,,,"빨간찜닭, 로제찜닭",광주 광산구 수완로50번길 34-4,062-951-6838,11:00-23:00,없음,없음
182738,두찜 광주오치점,광주,,,"트러플크림찜닭, 불마왕불닭",광주 북구 서하로 189 1-2층,062-265-1118,11:00-23:00,없음,없음
182739,두찜 광주송정점,광주,,,"트러플크림찜닭, 로제닭발",광주 광산구 송정로65번길 28 상가동105호,062-941-8777,11:00-23:00,없음,없음
182740,두찜 광주전남대점,광주,,,"빨간찜닭, 로제찜닭",광주 북구 우치로90번길 8-6,062-269-0595,11:00-23:00,없음,없음
182741,두찜월곡점 광주월곡동,광주,,,"빨간찜닭, 로제찜닭",광주 광산구 사암로340번길 43 101호,0507-1399-1404,11:00-23:00,없음,없음
182746,둘레길식당,광주,,,"김치찌개, 동태찌개",광주 북구 서방로 42,062-261-9921,10:00-22:00,"둘째, 넷째 일요일",없음
182749,둘마리깻잎순살치킨,광주,,,"순살후라이드, 순살양념치킨",광주 남구 천변좌로382번길 10,0507-1422-6971,14:00-02:00,없음,없음
182750,둘이아구낙지,광주,,,"아구찜, 장어탕",광주 북구 면앙로139번길 45,062-446-8090,,,있음
182754,둥지,광주,,,"맥주, 소주",광주 서구 상무연하로 27,062-384-6235,,,없음
182756,둥지식당,광주,,,"양푼이갈비, 제육볶음",광주 광산구 무진대로212번길 15,010-3640-6454,,,없음
182758,둥지해장국,광주,,,"감자탕, 제육볶음",광주 광산구 남동길30번길 48,062-941-7850,,,없음
182759,다정푸드 뒤집고,광주,,,"뒤집고 꽃삼겹, 뒤집고 꽃목살",광주 남구 백양로 159 2층,062-521-0000,16:00-22:00,매주 일요일,있음
182761,뒤파르크,광주,,,"명란아보카도비빔밥, 리코타 치즈 쉬림프 샐러드",광주 서구 시청로 27,0507-1445-8815,10:30~23:00,매주 일요일,있음
182762,뒷골목회포차,광주,,,"광어, 우럭",광주 광산구 남동길 8-2,062-941-0199,,,없음
182764,듀호텔브런치카페,광주,,,"아메리카노, 카페라떼",광주 서구 상무중앙로38번길 22 지하1층,0507-1491-9129,00:00-24:00,없음,있음
182765,드디어커피 조선대점,광주,,,"물감 미니 더치 커피, 아메리카노",광주 동구 지산로 5,010-2998-7858,07:00/07:30-21:00/22:00,없음,없음
182766|423264,연탄구이 드럼통,광주,35.1513956,126.85659019972,"해장라면, 냄비비빔밥, 통삼겹, 닭구이",광주 서구 운천로204번길 9,0507-1455-0180,17:00-05:00,없음,없음
182768,드로잉카페TONE,광주,,,"아메리카노, 아이스티",광주 북구 우치로 104-9 3층,0507-1366-1724,13:00-22:00,"매주 화요일, 공휴일",없음
182769,드로잉카페 톤 충장점,광주,,,"아메리카노, 아이스티",광주 동구 서석로7번길 6-29 2층,0507-1365-1724,13:00-22:00,매주 화요일,없음
182770,드로잉케이크,광주,,,"도시락케이크, 미니케이크",광주 서구 상무화원로17번길 4 1층,0507-1344-4207,,,있음
182772,드롭탑 광주경신여고사거리점,광주,,,"아메리카노, 카페라떼",광주 북구 금호로 35,062-511-1023,10:00-19:00/21:00,없음,있음
182773,드롭탑 매월점,광주,,,"아메리카노, 카페라떼",광주 서구 전평길 41 1층,062-373-4748,11:00-22:00,없음,있음
182774,드롭탑 광주진월점,광주,,,"아메리카노, 카페라떼",광주 남구 광복마을길 83,062-672-4555,10:00-01:00,없음,없음
