item,region,year_month,price,unit
가리비,전국,2024-05,11703.78,kg
가리비,전국,2024-10,8142.01,kg
가리비,전국,2024-11,7762.91,kg
가리비,전국,2024-12,7925.53,kg
간장,전국,2024-01,11521.77,개
간장,전국,2024-02,10653.42,개
간장,전국,2024-03,10625.73,개
간장,전국,2024-04,12920.98,개
간장,전국,2024-05,12301.68,개
간장,전국,2024-06,12991.96,개
간장,전국,2024-07,13111.3,개
간장,전국,2024-08,13768.5,개
간장,전국,2024-09,13777.08,개
간장,전국,2024-10,13678.67,개
간장,전국,2024-11,13942.82,개
간장,전국,2024-12,13443.7,개
갈치,광주,2022-07,10938.5,1마리
갈치,광주,2022-08,6751.5,1마리
갈치,광주,2022-09,6367.0,1마리
갈치,광주,2022-10,6429.5,1마리
갈치,광주,2022-11,6345.5,1마리
갈치,광주,2022-12,6519.5,1마리
갈치,광주,2023-01,6339.0,1마리
갈치,광주,2023-02,6512.5,1마리
갈치,광주,2023-03,6706.5,1마리
갈치,광주,2023-04,6902.0,1마리
갈치,광주,2023-05,8436.0,1마리
갈치,광주,2023-06,6061.5,1마리
갈치,광주,2023-07,5418.5,1마리
갈치,광주,2023-08,7073.0,1마리
갈치,광주,2023-09,5533.0,1마리
갈치,광주,2023-10,5678.0,1마리
갈치,광주,2023-11,6028.0,1마리
갈치,광주,2023-12,6828.0,1마리
갈치,광주,2024-01,6641.0,1마리
갈치,광주,2024-02,6993.0,1마리
갈치,광주,2024-03,11565.0,1마리
갈치,광주,2024-04,11266.5,1마리
갈치,광주,2024-05,11245.0,1마리
갈치,광주,2024-06,6968.0,1마리
갈치,광주,2024-07,6861.0,1마리
갈치,광주,2024-08,6223.0,1마리
갈치,광주,2024-09,6388.0,1마리
갈치,광주,2024-10,6934.0,1마리
갈치,광주,2024-11,7176.0,1마리
갈치,광주,2024-12,7122.0,1마리
갈치,광주,2025-01,7009.0,1마리
갈치,광주,2025-02,7186.0,1마리
갈치,광주,2025-03,7275.0,1마리
갈치,광주,2025-04,14693.0,1마리
갈치,광주,2025-05,7647.0,1마리
갈치,광주,2025-06,8239.0,1마리
갈치,광주,2025-07,9641.0,1마리
갈치,광주,2025-08,9497.0,1마리
갈치,광주,2025-09,7120.0,1마리
갈치,광주,2025-10,7993.0,1마리
갈치,광주,2025-11,7636.0,1마리
갈치,광주,2025-12,7871.0,1마리
갈치,광주,2026-01,8077.0,1마리
갈치,광주,2026-02,9697.0,1마리
갈치,광주,2026-03,9462.0,1마리
갈치,광주,2026-04,9614.0,1마리
갈치,광주,2026-05,8946.0,1마리
갈치,광주,2026-06,8171.0,1마리
갈치,광주,2026-07,7190.0,1마리
갈치,전국,2024-01,7346.25,마리
갈치,전국,2024-02,7677.79,마리
갈치,전국,2024-03,8983.22,마리
갈치,전국,2024-04,9640.49,마리
갈치,전국,2024-05,9352.17,마리
갈치,전국,2024-06,6298.93,마리
갈치,전국,2024-07,7379.1,마리
갈치,전국,2024-08,6621.8,마리
갈치,전국,2024-09,6559.45,마리
갈치,전국,2024-10,7921.26,마리
갈치,전국,2024-11,6991.44,마리
갈치,전국,2024-12,5843.85,마리
감귤,전국,2024-01,4108.77,개
감귤,전국,2024-02,5379.19,개
감귤,전국,2024-07,7947.36,개
감귤,전국,2024-08,8237.64,개
감귤,전국,2024-09,7742.34,개
감귤,전국,2024-10,4537.12,개
감귤,전국,2024-11,4165.45,개
감귤,전국,2024-12,3793.49,개
감자,광주,2021-01,337.0,100g
감자,광주,2021-02,389.0,100g
감자,광주,2021-03,480.0,100g
감자,광주,2021-04,481.0,100g
감자,광주,2021-05,385.0,100g
감자,광주,2021-06,318.0,100g
감자,광주,2021-07,293.0,100g
감자,광주,2021-08,278.0,100g
감자,광주,2021-09,298.0,100g
감자,광주,2021-10,311.0,100g
감자,광주,2021-11,314.0,100g
감자,광주,2021-12,300.0,100g
감자,광주,2022-01,326.0,100g
감자,광주,2022-02,468.0,100g
감자,광주,2022-03,535.0,100g
감자,광주,2022-04,606.0,100g
감자,광주,2022-05,589.0,100g
감자,광주,2022-06,480.0,100g
감자,광주,2022-07,448.0,100g
감자,광주,2022-08,418.0,100g
감자,광주,2022-09,408.0,100g
감자,광주,2022-10,405.0,100g
감자,광주,2022-11,404.0,100g
감자,광주,2022-12,403.0,100g
감자,광주,2023-01,468.0,100g
감자,광주,2023-02,561.0,100g
감자,광주,2023-03,671.0,100g
감자,광주,2023-04,734.0,100g
감자,광주,2023-05,697.0,100g
감자,광주,2023-06,526.0,100g
감자,광주,2023-07,419.0,100g
감자,광주,2023-08,397.0,100g
감자,광주,2023-09,391.0,100g
감자,광주,2023-10,419.0,100g
감자,광주,2023-11,413.0,100g
감자,광주,2023-12,422.0,100g
감자,광주,2024-01,415.0,100g
감자,광주,2024-02,548.0,100g
감자,광주,2024-03,629.0,100g
감자,광주,2024-04,657.0,100g
감자,광주,2024-05,590.0,100g
감자,광주,2024-06,391.0,100g
감자,광주,2024-07,359.0,100g
감자,광주,2024-08,345.0,100g
감자,광주,2024-09,349.0,100g
감자,광주,2024-10,345.0,100g
감자,광주,2024-11,368.0,100g
감자,광주,2024-12,413.0,100g
감자,광주,2025-01,441.0,100g
감자,광주,2025-02,556.0,100g
감자,광주,2025-03,642.0,100g
감자,광주,2025-04,624.0,100g
감자,광주,2025-05,696.0,100g
감자,광주,2025-06,566.0,100g
감자,광주,2025-07,461.0,100g
감자,광주,2025-08,496.0,100g
감자,광주,2025-09,496.0,100g
감자,광주,2025-10,468.0,100g
감자,광주,2025-11,454.0,100g
감자,광주,2025-12,468.0,100g
감자,광주,2026-01,445.0,100g
감자,광주,2026-02,601.0,100g
감자,광주,2026-03,682.0,100g
감자,광주,2026-04,686.0,100g
감자,광주,2026-05,703.0,100g
감자,광주,2026-06,420.0,100g
감자,광주,2026-07,345.0,100g
감자,전국,2024-01,448.4,g
감자,전국,2024-02,479.44,g
감자,전국,2024-03,460.91,g
감자,전국,2024-04,435.53,g
감자,전국,2024-05,458.38,g
감자,전국,2024-06,368.99,g
감자,전국,2024-07,290.83,g
감자,전국,2024-08,271.81,g
감자,전국,2024-09,271.45,g
감자,전국,2024-10,284.37,g
감자,전국,2024-11,285.54,g
감자,전국,2024-12,317.94,g
갓,전국,2024-01,5342.15,kg
갓,전국,2024-10,4038.45,kg
갓,전국,2024-11,3907.9,kg
갓,전국,2024-12,4868.02,kg
건고추,전국,2024-01,18506.72,g
건고추,전국,2024-02,18511.11,g
건고추,전국,2024-03,18573.83,g
건고추,전국,2024-04,18671.19,g
건고추,전국,2024-05,18736.33,g
건고추,전국,2024-06,18734.03,g
건고추,전국,2024-07,18733.33,g
건고추,전국,2024-08,18820.33,g
건고추,전국,2024-09,18901.91,g
건고추,전국,2024-10,18301.53,g
건고추,전국,2024-11,18049.71,g
건고추,전국,2024-12,18159.06,g
건다시마,전국,2024-05,3947.79,g
건다시마,전국,2024-06,3736.09,g
건다시마,전국,2024-07,3726.85,g
건다시마,전국,2024-08,3746.74,g
건다시마,전국,2024-09,3750.72,g
건다시마,전국,2024-10,3747.66,g
건다시마,전국,2024-11,3762.1,g
건다시마,전국,2024-12,3763.71,g
건멸치,전국,2024-01,2984.57,g
건멸치,전국,2024-02,2975.44,g
건멸치,전국,2024-03,2865.18,g
건멸치,전국,2024-04,2826.19,g
건멸치,전국,2024-05,2863.82,g
건멸치,전국,2024-06,2867.77,g
건멸치,전국,2024-07,2887.42,g
건멸치,전국,2024-08,2898.51,g
건멸치,전국,2024-09,2878.69,g
건멸치,전국,2024-10,2943.66,g
건멸치,전국,2024-11,2879.79,g
건미역,전국,2024-01,3025.61,g
건미역,전국,2024-02,3080.8,g
건미역,전국,2024-03,3069.3,g
건미역,전국,2024-04,3054.62,g
건미역,전국,2024-05,3090.2,g
건미역,전국,2024-06,3107.47,g
건미역,전국,2024-07,3123.96,g
건미역,전국,2024-08,3119.15,g
건미역,전국,2024-09,3081.78,g
건미역,전국,2024-10,3113.84,g
건미역,전국,2024-11,3126.65,g
건오징어,전국,2024-01,70421.88,마리
건오징어,전국,2024-02,71787.73,마리
건오징어,전국,2024-03,70208.04,마리
건오징어,전국,2024-04,70456.49,마리
건오징어,전국,2024-05,69939.21,마리
건오징어,전국,2024-06,72445.53,마리
건오징어,전국,2024-07,77821.43,마리
건오징어,전국,2024-08,79342.85,마리
건오징어,전국,2024-09,77468.96,마리
건오징어,전국,2024-10,80377.62,마리
건오징어,전국,2024-11,78790.89,마리
고구마,광주,2021-01,6079.0,1kg
고구마,광주,2021-02,6221.0,1kg
고구마,광주,2021-03,6276.0,1kg
고구마,광주,2021-04,6241.0,1kg
고구마,광주,2021-05,7090.0,1kg
고구마,광주,2021-06,6965.0,1kg
고구마,광주,2021-07,6675.0,1kg
고구마,광주,2021-08,5999.0,1kg
고구마,광주,2021-09,5679.0,1kg
고구마,광주,2021-10,4974.0,1kg
고구마,광주,2021-11,4913.0,1kg
고구마,광주,2021-12,5271.0,1kg
고구마,광주,2022-01,5413.0,1kg
고구마,광주,2022-02,5106.0,1kg
고구마,광주,2022-03,5209.0,1kg
고구마,광주,2022-04,5338.0,1kg
고구마,광주,2022-05,5316.0,1kg
고구마,광주,2022-06,5363.0,1kg
고구마,광주,2022-07,5547.0,1kg
고구마,광주,2022-08,5793.0,1kg
고구마,광주,2022-09,5433.0,1kg
고구마,광주,2022-10,5135.0,1kg
고구마,광주,2022-11,4955.0,1kg
고구마,광주,2022-12,5123.0,1kg
고구마,광주,2023-01,5486.0,1kg
고구마,광주,2023-02,5418.0,1kg
고구마,광주,2023-03,5016.0,1kg
고구마,광주,2023-04,5410.0,1kg
고구마,광주,2023-05,5855.0,1kg
고구마,광주,2023-06,5669.0,1kg
고구마,광주,2023-07,6274.0,1kg
고구마,광주,2023-08,7361.0,1kg
고구마,광주,2023-09,6307.0,1kg
고구마,광주,2023-10,5978.0,1kg
고구마,광주,2023-11,5498.0,1kg
고구마,광주,2023-12,5856.0,1kg
고구마,광주,2024-01,5428.0,1kg
고구마,광주,2024-02,5759.0,1kg
고구마,광주,2024-03,6072.0,1kg
고구마,광주,2024-04,5809.0,1kg
고구마,광주,2024-05,6014.0,1kg
고구마,광주,2024-06,6381.0,1kg
고구마,광주,2024-07,6454.0,1kg
고구마,광주,2024-08,5953.0,1kg
고구마,광주,2024-09,5668.0,1kg
고구마,광주,2024-10,5493.0,1kg
고구마,광주,2024-11,5568.0,1kg
고구마,광주,2024-12,5217.0,1kg
고구마,광주,2025-01,5437.0,1kg
고구마,광주,2025-02,5045.0,1kg
고구마,광주,2025-03,5319.0,1kg
고구마,광주,2025-04,5311.0,1kg
고구마,광주,2025-05,5110.0,1kg
고구마,광주,2025-06,5800.0,1kg
고구마,광주,2025-07,5636.0,1kg
고구마,광주,2025-08,6458.0,1kg
고구마,광주,2025-09,5733.0,1kg
고구마,광주,2025-10,5604.0,1kg
고구마,광주,2025-11,4564.0,1kg
고구마,광주,2025-12,4474.0,1kg
고구마,광주,2026-01,4643.0,1kg
고구마,광주,2026-02,5216.0,1kg
고구마,광주,2026-03,5596.0,1kg
고구마,광주,2026-04,5597.0,1kg
고구마,광주,2026-05,6217.0,1kg
고구마,광주,2026-06,5528.0,1kg
고구마,광주,2026-07,5026.0,1kg
고구마,전국,2024-01,4786.14,kg
고구마,전국,2024-02,4822.26,kg
