market_name,sido,sigungu,address,lat,lng,num_stores,items,open_cycle,parking_p02,parking_p03,rest_area,kids_room,match_status
1913송정역시장(송정역전매일시장),광주,광산구,광주광역시 광산구 송정로 8번길 33,35.13555958,126.7915346,73,농산물+축산물+수산물+가공식품+신발+음식점,매일,Y,Y,Y,N,매칭완료
비아5일시장,광주,광산구,광주광역시 광산구 중앙로 26-1,35.22135885,126.8252669,49,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,1일+6일,Y,Y,Y,N,매칭완료
송정5일시장,광주,광산구,광주광역시 광산구 광산로30번길 65,35.13708297,126.7969059,147,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,3일+8일,Y,Y,Y,N,매칭완료
송정매일시장,광주,광산구,광주광역시 광산구 송정로 29번길 64,35.13745243,126.7968406,41,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,매일,Y,Y,N,N,매칭완료
우산매일시장,광주,광산구,광주광역시 광산구 우산로,35.16218922,126.8035258,44,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,매일,Y,Y,N,N,매칭완료
월곡시장,광주,광산구,광주광역시 광산구 월곡 사암로 300,35.17129717,126.8096437,67,농산물+축산물+수산물+가공식품+음식점,매일,Y,Y,N,N,매칭완료
무등시장,광주,남구,광주광역시 남구 군분로27,35.13592608,126.8945422,89,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,매일,Y,Y,Y,N,매칭완료
봉선시장,광주,남구,광주광역시 남구 봉선중앙로91번길 7 봉선동,35.12904439,126.9100112,48,농산물+축산물+수산물+가공식품+의류+가정용품+음식점,매일,Y,Y,Y,N,매칭완료
남광주시장,광주,동구,광주광역시 동구 제봉로17번길 18-6,35.13929961,126.9208082,197,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,매일,Y,Y,Y,N,매칭완료
남광주해뜨는시장,광주,동구,광주광역시 동구 제봉로17번길 13-6,35.13896721,126.9212584,50,농산물+축산물+수산물,매일,Y,Y,Y,N,매칭완료
대인시장,광주,동구,광주광역시 동구 제봉로194번길 10,35.15409833,126.917243,289,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,매일,Y,Y,Y,Y,매칭완료
산수시장,광주,동구,광주광역시 동구 필문대로192번길 17-1,35.15348435,126.929739,80,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+근린생활서비스,매일,N,N,N,N,매칭완료
동부시장,광주,북구,광주광역시 북구 중문로9번길 39,35.1738826,126.9163398,36,농산물+음식점+근린생활서비스,매일,Y,Y,Y,N,매칭완료
두암시장,광주,북구,광주광역시 북구 금녕길 23,35.17157442,126.9293831,26,농산물+축산물+수산물+가공식품,매일,Y,Y,Y,N,매칭완료
말바우시장,광주,북구,광주광역시 북구 동문대로97번길 55,35.1729756,126.9213684,441,농산물+축산물+수산물+음식점,2일+4일+7일+9일,Y,Y,Y,N,매칭완료
운암시장,광주,북구,광주광역시 북구 대자로 87,35.1733763,126.8820026,64,농산물+축산물+수산물+가공식품+의류+가정용품+음식점,매일,Y,Y,Y,N,매칭완료
중흥시장,광주,북구,광주광역시 북구 중흥로 154,35.1616112,126.9108534,51,농산물+축산물+수산물+가공식품+근린생활서비스,매일,N,N,N,N,매칭완료
